   1.0000000e-01   5.1830896e-01   7.9294127e-02
   1.7320500e-01   4.8655956e-01   5.9887306e-02
   3.1622800e-01   6.6078439e-01   6.5324391e-02
   5.0000000e-01   7.1912392e-01   5.5998005e-02
   7.0710700e-01   8.1834079e-01   6.1593837e-02
   8.6602500e-01   9.8224707e-01   7.2666440e-02
   1.0000000e+00   9.8661261e-01   6.4530656e-02
   1.2247400e+00   1.0790827e+00   7.8619453e-02
   1.4142100e+00   1.0663830e+00   7.0682102e-02
   2.0000000e+00   1.4100702e+00   8.5723381e-02
   2.5000000e+00   1.5521488e+00   1.2668011e-01
   3.0000000e+00   1.5628642e+00   1.2279081e-01
